[Spectrum]
Version            = 1
IDData             = DLAB_2024-07-04_08-22-40_130_756
IDDevice           = SAM_8860
IDDataType         = SPECTRUM
IDDataTypeSub1     = BACK
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2024-07-04 08:13:48
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Calibration Station
MethodName         = SAM Calibration Station
Mission            = 
MissionSub         = 0
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = 
IDDataCal = 
IntegrationTime = 8192
 175 0.0182790584566541 0.0180730414736761 0
 176 0.0182513938024977 0.0184280715339502 0
 177 0.0182778543939241 0.0181206422055178 0
 178 0.0182534945002616 0.018388731938996 0
 179 0.0182705775001004 0.0183667500705611 0
 180 0.0182395053187574 0.0182946078707034 0
 181 0.0182766079333905 0.0181534430648033 0
 182 0.0182504528504179 0.0180748940979928 0
 183 0.018278203347041 0.0182732832274218 0
 184 0.0182485566391806 0.0181053041589516 0
 185 0.0182733485368019 0.0181998096447635 0
 186 0.0182417524023538 0.0185523076862198 0
 187 0.0182844325091312 0.018344035566278 0
 188 0.0182567596545766 0.0181123506948784 0
 189 0.0182741113483155 0.0181875979999226 0
 190 0.0182473626960911 0.0182214926634075 0
 191 0.0182610772514923 0.0181678826418173 0
 192 0.0182565884930728 0.0184854005945554 0
 193 0.0182756997829037 0.0182245035052254 0
 194 0.0182453923323164 0.0182288649316413 0
 195 0.0182588818129572 0.0183723795138465 0
 196 0.0182445344310784 0.0180331631810264 0
 197 0.0182642450478877 0.0181024869061629 0
 198 0.0182609387171048 0.0183440175864133 0
 199 0.0182713122208881 0.0183138189197866 0
 200 0.0182605906363707 0.0183650231307359 0
 201 0.0182759480630464 0.0182446708038146 0
 202 0.0182467361507696 0.0182455628145805 0
 203 0.0182746935765911 0.0183338551224688 0
 204 0.018244157212759 0.0183378733603982 0
 205 0.0182678868970924 0.0182494213284687 0
 206 0.0182436322127946 0.0182033904308379 0
 207 0.0182664164086577 0.0184325816870144 0
 208 0.0182446220183108 0.0182029929536336 0
 209 0.0182795129680888 0.0182932199298816 0
 210 0.0182500997098636 0.0182677031851241 0
 211 0.018276052923458 0.0181786342518156 0
 212 0.0182286807930705 0.018439497999843 0
 213 0.0182711951471174 0.0183236947532658 0
 214 0.0182493850538802 0.0183795711106238 0
 215 0.0182640936022349 0.0182911679559965 0
 216 0.0182456706224271 0.0184118624240334 0
 217 0.0182529649639067 0.0182829235770413 0
 218 0.018235095947172 0.0184881661770532 0
 219 0.0182641218674374 0.0183652809585052 0
 220 0.0182331070888821 0.0181989998526024 0
 221 0.0182788928784001 0.0183706517012123 0
 222 0.0182358514306701 0.0182575337387078 0
 223 0.0182529403627119 0.0182049536317005 0
 224 0.0182486792962012 0.0182757021301973 0
 225 0.0182804408344267 0.0185415843552321 0
 226 0.0182348963459891 0.0181945748856937 0
 227 0.0182699287962561 0.0183500354296897 0
 228 0.0182375056429208 0.0183423772292378 0
 229 0.0182714291201823 0.018368827530468 0
 230 0.0182427019037849 0.0183825142224657 0
 231 0.0182667568124233 0.0181922050347822 0
 232 0.018245106365237 0.0180488143914506 0
 233 0.018265985974988 0.0182903789366889 0
 234 0.0182428011809467 0.0182478399731795 0
 235 0.0182695798431391 0.0182909015746993 0
 236 0.0182434594810017 0.0182968902661561 0
 237 0.0182698080584776 0.0183408684916547 0
 238 0.0182503773020681 0.0181014877144557 0
 239 0.0182683688013469 0.0184378112092304 0
 240 0.0182433957970579 0.0184407143464216 0
 241 0.0182699950973483 0.0182939647850553 0
 242 0.0182405739876779 0.0183916204129965 0
 243 0.0182803614475926 0.0182266328099851 0
 244 0.0182351395663116 0.0181127033097016 0
 245 0.0182857574841161 0.0182254508520799 0
 246 0.0182522775262663 0.018515669609585 0
 247 0.0182801655104175 0.0181915771360103 0
 248 0.0182618501826462 0.0181355223764991 0
 249 0.0182893897371102 0.0181902473242658 0
 250 0.0182537349289591 0.0182047965260862 0
 251 0.0183139080554878 0.0182476891517897 0
 252 0.0183082145364321 0.0181882166469195 0
 253 0.0183281900086571 0.0180170410028829 0
 254 0.0183929398297907 0.0181212015015049 0
 255 0.0188685620557705 0.0194914604355311 0
[END] of [DATA]
[END] of [Spectrum]

